17/07/2019 - 12:06:10 AM	(づ｡◕‿‿◕｡)づ(Joining/Connecting) connected from the server
17/07/2019 - 12:06:28 AM	(͠≖ ͜ʖ͠≖) (DC)(Joining/Connecting) connected from the server
17/07/2019 - 12:06:30 AM	Dio(Joining/Connecting) connected from the server
17/07/2019 - 12:06:30 AM	Blumbing(Citizen) said '!unbox'
17/07/2019 - 12:06:34 AM	Zookie 〈メイド〉(Joining/Connecting) connected from the server
17/07/2019 - 12:06:39 AM	Blumbing(Citizen) entered 'FPP_SetBuddy'
17/07/2019 - 12:06:42 AM	Blumbing(Citizen) said '!unbox'
17/07/2019 - 12:06:52 AM	Dio(Admin On Duty) changed his team from 'Citizen' to 'Admin On Duty'
17/07/2019 - 12:06:59 AM	BexGasm(Citizen) said '!unbox'
17/07/2019 - 12:07:08 AM	Blumbing(Citizen) said '!unbox'
17/07/2019 - 12:07:08 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) said '!unbox'
17/07/2019 - 12:07:18 AM	BexGasm(Citizen) spawned a 'models/props_borealis/door_wheel001a.mdl'
17/07/2019 - 12:07:25 AM	BexGasm(Citizen) spawned a 'models/props_borealis/door_wheel001a.mdl'
17/07/2019 - 12:07:26 AM	Blumbing(Citizen) said '!mods'
17/07/2019 - 12:07:27 AM	BexGasm(Citizen) spawned a 'models/props_borealis/door_wheel001a.mdl'
17/07/2019 - 12:07:28 AM	BexGasm(Citizen) spawned a 'models/props_borealis/door_wheel001a.mdl'
17/07/2019 - 12:07:30 AM	BexGasm(Citizen) spawned a 'models/props_borealis/door_wheel001a.mdl'
17/07/2019 - 12:07:32 AM	BexGasm(Citizen) spawned a 'models/props_borealis/door_wheel001a.mdl'
17/07/2019 - 12:07:35 AM	BexGasm(Citizen) spawned a 'models/props_borealis/door_wheel001a.mdl'
17/07/2019 - 12:07:37 AM	BexGasm(Citizen) spawned a 'models/props_borealis/door_wheel001a.mdl'
17/07/2019 - 12:07:40 AM	Blumbing(Citizen) said '!addons'
17/07/2019 - 12:07:44 AM	Blumbing(Citizen) said '!motd'
17/07/2019 - 12:07:44 AM	Blumbing(Citizen) used ULX command ' motd'
17/07/2019 - 12:07:50 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/Storefront_Template001a_Bars.mdl'
17/07/2019 - 12:08:06 AM	BexGasm(Citizen) spawned a 'models/props_borealis/borealis_door001a.mdl'
17/07/2019 - 12:08:10 AM	UG | M A S T E R(Joining/Connecting) connected from the server
17/07/2019 - 12:08:14 AM	BexGasm(Citizen) spawned a 'models/props_borealis/borealis_door001a.mdl'
17/07/2019 - 12:08:30 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_junk/PlasticCrate01a.mdl'
17/07/2019 - 12:08:36 AM	[HURT] The world hurt BexGasm(Citizen) with 40 damage using fall damage
17/07/2019 - 12:08:45 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_junk/PlasticCrate01a.mdl'
17/07/2019 - 12:09:10 AM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
17/07/2019 - 12:09:13 AM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
17/07/2019 - 12:09:15 AM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
17/07/2019 - 12:09:18 AM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
17/07/2019 - 12:09:19 AM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
17/07/2019 - 12:09:21 AM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
17/07/2019 - 12:09:28 AM	Blumbing(Citizen) spawned a 'models/props_borealis/borealis_door001a.mdl'
17/07/2019 - 12:09:31 AM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
17/07/2019 - 12:09:34 AM	BexGasm(Citizen) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:09:36 AM	BexGasm(Citizen) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:09:39 AM	BexGasm(Citizen) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:09:42 AM	BexGasm(Citizen) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:09:43 AM	BexGasm(Citizen) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:09:45 AM	BexGasm(Citizen) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:09:47 AM	BexGasm(Citizen) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:09:52 AM	BexGasm(Citizen) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:09:54 AM	BexGasm(Citizen) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:09:56 AM	Blumbing(Citizen) spawned a 'models/props_c17/fence03a.mdl'
17/07/2019 - 12:09:57 AM	BexGasm(Citizen) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:09:58 AM	BexGasm(Citizen) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:10:09 AM	BexGasm(Citizen) used 'creator'
17/07/2019 - 12:10:09 AM	BexGasm(Citizen) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:10:10 AM	BexGasm(Citizen) used 'creator'
17/07/2019 - 12:10:10 AM	BexGasm(Citizen) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:10:14 AM	BexGasm(Citizen) used 'creator'
17/07/2019 - 12:10:14 AM	BexGasm(Citizen) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:10:14 AM	Blumbing(Citizen) spawned a 'models/props_building_details/Storefront_Template001a_Bars.mdl'
17/07/2019 - 12:10:18 AM	BexGasm(Admin On Duty) changed his team from 'Citizen' to 'Admin On Duty'
17/07/2019 - 12:10:22 AM	Blumbing(Citizen) spawned a 'models/props_building_details/Storefront_Template001a_Bars.mdl'
17/07/2019 - 12:10:23 AM	BexGasm(Admin On Duty) used 'creator'
17/07/2019 - 12:10:23 AM	BexGasm(Admin On Duty) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:10:24 AM	BexGasm(Admin On Duty) used 'creator'
17/07/2019 - 12:10:24 AM	BexGasm(Admin On Duty) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:10:25 AM	BexGasm(Admin On Duty) used 'creator'
17/07/2019 - 12:10:25 AM	BexGasm(Admin On Duty) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:10:27 AM	BexGasm(Admin On Duty) used 'creator'
17/07/2019 - 12:10:27 AM	BexGasm(Admin On Duty) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:10:29 AM	BexGasm(Admin On Duty) used 'creator'
17/07/2019 - 12:10:29 AM	BexGasm(Admin On Duty) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:10:31 AM	BexGasm(Admin On Duty) used 'creator'
17/07/2019 - 12:10:31 AM	BexGasm(Admin On Duty) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:10:33 AM	BexGasm(Admin On Duty) used 'creator'
17/07/2019 - 12:10:33 AM	BexGasm(Admin On Duty) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:10:39 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_c17/fence02b.mdl'
17/07/2019 - 12:10:42 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/Storefront_Template001a_Bars.mdl'
17/07/2019 - 12:10:46 AM	BexGasm(Admin On Duty) used 'creator'
17/07/2019 - 12:10:46 AM	BexGasm(Admin On Duty) spawned a 'models/props_wasteland/interior_fence002d.mdl'
17/07/2019 - 12:10:48 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/Storefront_Template001a_Bars.mdl'
17/07/2019 - 12:10:57 AM	Dio(Admin On Duty) used FAdmin command 'jail' on himself
17/07/2019 - 12:10:57 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/Storefront_Template001a_Bars.mdl'
17/07/2019 - 12:11:01 AM	BexGasm(Admin On Duty) said '!jail *'
17/07/2019 - 12:11:01 AM	BexGasm(Admin On Duty) used ULX command ' jail *'
17/07/2019 - 12:11:11 AM	BexGasm(Admin On Duty) said '!unjail *'
17/07/2019 - 12:11:11 AM	BexGasm(Admin On Duty) used ULX command ' unjail *'
17/07/2019 - 12:11:13 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) spawned a 'models/props_building_details/Storefront_Template001a_Bars.mdl'
17/07/2019 - 12:11:18 AM	Dio(Admin On Duty) used FAdmin command 'jail' on himself
17/07/2019 - 12:11:21 AM	BexGasm(Admin On Duty) entered 'gm_giveswep'
17/07/2019 - 12:11:24 AM	[HURT] Something hurt Blumbing(Citizen) with 5 damage using Entity [0][worldspawn]
17/07/2019 - 12:11:30 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:11:31 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:11:34 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:11:41 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:11:42 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:11:42 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:11:42 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:11:43 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:11:45 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:11:48 AM	[HURT] Blumbing(Citizen) hurt BexGasm(Admin On Duty) with 7 damage using fas2_galil
17/07/2019 - 12:11:50 AM	[HURT] BexGasm(Admin On Duty) hurt Blumbing(Citizen) with 7 damage using fas2_galil
17/07/2019 - 12:11:52 AM	[HURT] Blumbing(Citizen) hurt BexGasm(Admin On Duty) with 7 damage using fas2_galil
17/07/2019 - 12:11:52 AM	[HURT] Blumbing(Citizen) hurt BexGasm(Admin On Duty) with 7 damage using fas2_galil
17/07/2019 - 12:11:52 AM	[HURT] Blumbing(Citizen) hurt BexGasm(Admin On Duty) with 54 damage using fas2_galil
17/07/2019 - 12:11:52 AM	[HURT] Blumbing(Citizen) hurt BexGasm(Admin On Duty) with 7 damage using fas2_galil
17/07/2019 - 12:11:53 AM	[HURT] BexGasm(Admin On Duty) hurt Blumbing(Citizen) with 7 damage using fas2_galil
17/07/2019 - 12:11:53 AM	[HURT] BexGasm(Admin On Duty) hurt Blumbing(Citizen) with 3 damage using fas2_galil
17/07/2019 - 12:11:59 AM	[HURT] BexGasm(Admin On Duty) hurt Blumbing(Citizen) with 7 damage using fas2_galil
17/07/2019 - 12:11:59 AM	[HURT] BexGasm(Admin On Duty) hurt Blumbing(Citizen) with 27 damage using fas2_galil
17/07/2019 - 12:11:59 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:11:59 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:11:59 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:11:59 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:00 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:00 AM	[HURT] BexGasm(Admin On Duty) hurt Blumbing(Citizen) with 3 damage using fas2_galil
17/07/2019 - 12:12:00 AM	[HURT] BexGasm(Admin On Duty) hurt Blumbing(Citizen) with 27 damage using fas2_galil
17/07/2019 - 12:12:00 AM	[KILL] BexGasm(Admin On Duty) killed Blumbing(Citizen) with 27 damage using fas2_galil
17/07/2019 - 12:12:02 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:04 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:06 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:07 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:08 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
17/07/2019 - 12:12:11 AM	(͠≖ ͜ʖ͠≖) (DC)(Citizen) used 'advdupe2'
