18/07/2019 - 11:56:40 AM	Dio(Joining/Connecting) connected from the server
18/07/2019 - 12:00:51 PM	On Anime Break(Fuel Refiner) changed his team from 'Citizen' to 'Fuel Refiner'
18/07/2019 - 12:00:58 PM	On Anime Break(Dio Brando) changed his team from 'Fuel Refiner' to 'Dio Brando'
18/07/2019 - 12:01:15 PM	AidanFTW(Joining/Connecting) connected from the server
18/07/2019 - 12:03:18 PM	Derp(Joining/Connecting) connected from the server
18/07/2019 - 12:03:28 PM	AidanFTW(Weed Grower) changed his team from 'Citizen' to 'Weed Grower'
18/07/2019 - 12:03:47 PM	[HURT] The world hurt On Anime Break(Dio Brando) with 35 damage using fall damage
18/07/2019 - 12:03:50 PM	On Anime Break(Dio Brando) used FAdmin command 'cloak' on himself
18/07/2019 - 12:03:51 PM	AidanFTW(Lean Producer) changed his team from 'Weed Grower' to 'Lean Producer'
18/07/2019 - 12:04:22 PM	AidanFTW(Weed Grower) changed his team from 'Lean Producer' to 'Weed Grower'
18/07/2019 - 12:05:08 PM	William(Citizen) entered 'FSpectate'
18/07/2019 - 12:05:10 PM	William(Citizen) entered 'FTPToPos'
18/07/2019 - 12:05:10 PM	William(Citizen) entered 'FSpectate_StopSpectating'
18/07/2019 - 12:05:18 PM	William(Citizen) said 'hi'
18/07/2019 - 12:05:22 PM	William(Citizen) said 'im good'
18/07/2019 - 12:05:24 PM	William(Citizen) said 'what about u'
18/07/2019 - 12:05:31 PM	William(Citizen) said 'thats nice'
18/07/2019 - 12:05:39 PM	William(Citizen) said 'our server usually has more players later on in the day'
18/07/2019 - 12:05:43 PM	William(Citizen) said 'towards the night'
18/07/2019 - 12:05:53 PM	William(Citizen) said 'i just added meth and lean'
18/07/2019 - 12:06:04 PM	William(Citizen) said 'u make a shit ton of money'
18/07/2019 - 12:06:11 PM	William(Citizen) said 'a crate of lean is 150k'
18/07/2019 - 12:06:16 PM	William(Citizen) said 'all u need is one barrel to get started'
18/07/2019 - 12:06:35 PM	William(Citizen) said 'well if u sell 2 lean crates u already made profit'
18/07/2019 - 12:06:47 PM	William(Citizen) said 'its not a good way to start making money'
18/07/2019 - 12:06:55 PM	William(Citizen) said 'but when u already have some'
18/07/2019 - 12:07:00 PM	William(Citizen) said 'its good then'
18/07/2019 - 12:07:09 PM	William(Citizen) said 'probably printers '
18/07/2019 - 12:07:17 PM	William(Citizen) said 'bronze and silver are kinda shit but once u get the gold printer'
18/07/2019 - 12:07:20 PM	William(Citizen) said 'its game over for poverty'
18/07/2019 - 12:07:33 PM	William(Citizen) said 'weed is pretty good too'
18/07/2019 - 12:07:37 PM	William(Citizen) said 'it used to be really bad for making money'
18/07/2019 - 12:07:39 PM	William(Citizen) said 'but i buffed it'
18/07/2019 - 12:07:48 PM	William(Citizen) said 'u definitely will'
18/07/2019 - 12:07:57 PM	William(Citizen) said 'do u want me to help u with anything?'
18/07/2019 - 12:08:07 PM	William(Citizen) said 'i can teach u'
18/07/2019 - 12:08:11 PM	William(Weed Grower) changed his team from 'Citizen' to 'Weed Grower'
18/07/2019 - 12:08:16 PM	William(Weed Grower) said 'we can start in a warehouse here'
18/07/2019 - 12:08:47 PM	On Anime Break(Weed Grower) changed his team from 'Dio Brando' to 'Weed Grower'
18/07/2019 - 12:09:03 PM	William(Weed Grower) said 'im teaching this guy how to make weed'
18/07/2019 - 12:09:12 PM	UG | M A S T E R(Joining/Connecting) connected from the server
18/07/2019 - 12:09:16 PM	William(Weed Grower) said 'so u pretty much buy everything with the tablet u spawn with'
18/07/2019 - 12:09:24 PM	On Anime Break(Master Meth Cook) changed his team from 'Weed Grower' to 'Master Meth Cook'
18/07/2019 - 12:09:28 PM	William(Weed Grower) said 'u need most of the stuff on there'
18/07/2019 - 12:09:31 PM	On Anime Break(Master Meth Cook) bought 'Combiner' for $5500
18/07/2019 - 12:09:48 PM	On Anime Break(Master Meth Cook) used FAdmin command 'uncloak' on himself
18/07/2019 - 12:09:55 PM	William(Weed Grower) said 'ill show u the only stuff u need to make weed'
18/07/2019 - 12:10:04 PM	On Anime Break(Master Meth Cook) bought 'Methylamin' for $750
18/07/2019 - 12:10:17 PM	UG | M A S T E R(Citizen) said '@'
18/07/2019 - 12:10:17 PM	UG | M A S T E R(Citizen) used ULX command ' asay'
