GOVERNMENT
MAYOR
	RAID			NO
	MUG				NO
	TAKE HOSTAGE	NO
POLICE CHIEF
	RAID			WITH VALID WARRANT
	MUG				NO
	TAKE HOSTAGE	NO
POLICE OFFICER
	RAID			WITH VALID WARRANT
	MUG				NO
	TAKE HOSTAGE	NO
SWAT OPERATOR
	RAID			WITH VALID WARRANT
	MUG				NO
	TAKE HOSTAGE	NO
SWAT SNIPER
	RAID			WITH VALID WARRANT
	MUG				NO
	TAKE HOSTAGE	NO


CRIMINALS
HITMAN
	RAID			ONLY FOR HITS
	MUG				NO
	TAKE HOSTAGE	NO
Gang Leader
	RAID			YES
	MUG				YES
	TAKE HOSTAGE	YES
Gangster
	RAID			YES
	MUG				YES
	TAKE HOSTAGE	YES
Professional Robber
	RAID			YES
	MUG				YES
	TAKE HOSTAGE	NO
Robber
	RAID			YES
	MUG				YES
	TAKE HOSTAGE	NO

DEALERS
Vape Dealer
	RAID			NO
	MUG				NO
	TAKE HOSTAGE	NO
Gun Dealer
	RAID			NO
	MUG				NO
	TAKE HOSTAGE	NO
Black Market Dealer
	RAID			NO
	MUG				NO
	TAKE HOSTAGE	NO
	
PRODUCTION
Lean Producer
	RAID			NO
	MUG				NO
	TAKE HOSTAGE	NO
WEED GROWER
	RAID			NO
	MUG				NO
	TAKE HOSTAGE	NO
METH COOK
	RAID			NO
	MUG				NO
	TAKE HOSTAGE	NO

CITIZENS
CITIZEN
	RAID			NO
	MUG				NO
	TAKE HOSTAGE	NO
CITY WORKER
	RAID			NO
	MUG				NO
	TAKE HOSTAGE	NO
Medic
	RAID			NO
	MUG				NO
	TAKE HOSTAGE	NO
Chef
	RAID			NO
	MUG				NO
	TAKE HOSTAGE	NO
HOBO
	RAID			NO
	MUG				NO
	TAKE HOSTAGE	NO
Bitminer
	RAID			NO
	MUG				NO
	TAKE HOSTAGE	NO


OTHER
Mass Shooter
	RAID			YES
	MUG				YES
	TAKE HOSTAGE	YES
	* PLAYER MAY RDM BUT IS KOS/AOS
Predator
	RAID			NO
	MUG				NO
	TAKE HOSTAGE	YES

